customer_search_term,impressions,clicks,spend,14_day_total_sales,14_day_total_orders,match_type,date,campaign_name,ad_group_name
10 inch mattress queen size,28,1,17.68,0,0,EXACT,2026-04-17,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,69,2,39.8,0,0,EXACT,2026-04-22,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,75,2,38.4,0,0,EXACT,2026-04-23,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,15,1,32.31,0,0,EXACT,2026-04-25,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,13,1,21.3,0,0,EXACT,2026-04-28,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,17,1,31.95,0,0,EXACT,2026-04-30,SPKT | MATTRESS | LATEX | GENERIC | ALL SIZE | EXACT {},HIGH CTR KW
10 inch mattress queen size,35,3,59.27,0,0,TARGETING_EXPRESSION,2026-04-26,SPPT | Mattress | Original | Competition,Original
10 inch mattress queen size,4,1,18.82,0,0,TARGETING_EXPRESSION,2026-04-29,SPPT | Mattress | Original | Competition,Original
10 inch mattress queen size sleepycat,7,1,41.34,0,0,PHRASE,2026-04-27,SPKT | Branded | ALL | Matt,Latex
10 inch mattress single,14,1,20.62,0,0,TARGETING_EXPRESSION,2026-04-26,SPPT | Mattress | Original | Brand Protection,SPPT | Mattress | Original | Brand Protection
10 inch memory foam mattress by lucid,4,1,24.07,0,0,PHRASE,2026-04-30,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inch memory foam mattresses,1,1,24.82,0,0,TARGETING_EXPRESSION,2026-04-27,SPCT | MATTRESS | Latex | Competition,Competition
10 inch memory foam mattresses,9,2,57.61,0,0,PHRASE,2026-04-13,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch multi mattress,2,1,27.16,0,0,PHRASE,2026-04-15,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch ortho mattress,13,1,24.65,0,0,PHRASE,2026-04-13,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch ortho mattress king size,2,1,19.04,0,0,PHRASE,2026-05-01,SPKT | MATTRESS | Original | Generic | All Size | Phrase,Phrase
10 inch queen mattress,2,1,38.55,0,0,PHRASE,2026-04-25,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
10 inch queen size mattress,33,1,27.16,0,0,PHRASE,2026-04-18,SPKT | MATTRESS | Latex | Generic | All Size | Phrase,Queen
